task,algorithm,seed,interactions,mean_max_q,signed_bias,positive_bias,mean_absolute_q_error,goal_success,path_steps,collisions
diagnostic,EQLBPW,0,0,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,10,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,20,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,30,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,40,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,50,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,60,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,70,0.14560697972774506,0.14560697972774506,0.14560697972774506,0.09977759420871735,,,
diagnostic,EQLBPW,0,80,0.20177845656871796,0.20177845656871796,0.20177845656871796,0.10300141386687756,,,
diagnostic,EQLBPW,0,90,0.2530164122581482,0.2530164122581482,0.2530164122581482,0.11541211511939764,,,
diagnostic,EQLBPW,0,100,0.2985270917415619,0.2985270917415619,0.2985270917415619,0.12463249592110515,,,
diagnostic,EQLBPW,0,110,0.3389509320259094,0.3389509320259094,0.3389509320259094,0.13681264431215823,,,
diagnostic,EQLBPW,0,120,0.3715991973876953,0.3715991973876953,0.3715991973876953,0.1509575790259987,,,
diagnostic,EQLBPW,0,130,0.3908790349960327,0.3908790349960327,0.3908790349960327,0.16810202598571777,,,
diagnostic,EQLBPW,0,140,0.4188746213912964,0.4188746213912964,0.4188746213912964,0.1881524622440338,,,
diagnostic,EQLBPW,0,150,0.40542852878570557,0.40542852878570557,0.40542852878570557,0.188524778932333,,,
diagnostic,EQLBPW,0,160,0.3907841444015503,0.3907841444015503,0.3907841444015503,0.1797735132277012,,,
diagnostic,EQLBPW,0,170,0.37124890089035034,0.37124890089035034,0.37124890089035034,0.16500067710876465,,,
diagnostic,EQLBPW,0,180,0.34657740592956543,0.34657740592956543,0.34657740592956543,0.14330799039453268,,,
diagnostic,EQLBPW,0,190,0.32720470428466797,0.32720470428466797,0.32720470428466797,0.13341777957975864,,,
diagnostic,EQLBPW,0,200,0.326802134513855,0.326802134513855,0.326802134513855,0.13657984510064125,,,
diagnostic,EQLBPW,0,210,0.3503132462501526,0.3503132462501526,0.3503132462501526,0.15291551500558853,,,
diagnostic,EQLBPW,0,220,0.3861190378665924,0.3861190378665924,0.3861190378665924,0.18539702892303467,,,
diagnostic,EQLBPW,0,230,0.4210619032382965,0.4210619032382965,0.4210619032382965,0.21450208686292171,,,
diagnostic,EQLBPW,0,240,0.4716840982437134,0.4716840982437134,0.4716840982437134,0.2515851967036724,,,
diagnostic,EQLBPW,0,250,0.5294601321220398,0.5294601321220398,0.5294601321220398,0.28711215034127235,,,
diagnostic,EQLBPW,0,260,0.5384685397148132,0.5384685397148132,0.5384685397148132,0.2978809103369713,,,
diagnostic,EQLBPW,0,270,0.520329475402832,0.520329475402832,0.520329475402832,0.28790950030088425,,,
diagnostic,EQLBPW,0,280,0.5109285116195679,0.5109285116195679,0.5109285116195679,0.28410810604691505,,,
diagnostic,EQLBPW,0,290,0.5342012643814087,0.5342012643814087,0.5342012643814087,0.2916457373648882,,,
diagnostic,EQLBPW,0,300,0.5538831353187561,0.5538831353187561,0.5538831353187561,0.29917588643729687,,,
diagnostic,EQLBPW,0,310,0.5796416997909546,0.5796416997909546,0.5796416997909546,0.31645307689905167,,,
diagnostic,EQLBPW,0,320,0.6005874276161194,0.6005874276161194,0.6005874276161194,0.33525169640779495,,,
diagnostic,EQLBPW,0,330,0.6141882538795471,0.6141882538795471,0.6141882538795471,0.34021995961666107,,,
diagnostic,EQLBPW,0,340,0.6303222179412842,0.6303222179412842,0.6303222179412842,0.3504545455798507,,,
diagnostic,EQLBPW,0,350,0.6117110252380371,0.6117110252380371,0.6117110252380371,0.3439960228279233,,,
diagnostic,EQLBPW,0,360,0.577815055847168,0.577815055847168,0.577815055847168,0.3264822643250227,,,
diagnostic,EQLBPW,0,370,0.5672690272331238,0.5672690272331238,0.5672690272331238,0.3304477669298649,,,
diagnostic,EQLBPW,0,380,0.5632333755493164,0.5632333755493164,0.5632333755493164,0.3327501192688942,,,
diagnostic,EQLBPW,0,390,0.5445597171783447,0.5445597171783447,0.5445597171783447,0.32620996981859207,,,
diagnostic,EQLBPW,0,400,0.5170387029647827,0.5170387029647827,0.5170387029647827,0.31574898213148117,,,
diagnostic,EQLBPW,0,410,0.5342728495597839,0.5342728495597839,0.5342728495597839,0.33596278354525566,,,
diagnostic,EQLBPW,0,420,0.5773986577987671,0.5773986577987671,0.5773986577987671,0.38616424426436424,,,
diagnostic,EQLBPW,0,430,0.6166566014289856,0.6166566014289856,0.6166566014289856,0.42031003534793854,,,
diagnostic,EQLBPW,0,440,0.6425378918647766,0.6425378918647766,0.6425378918647766,0.4481731653213501,,,
diagnostic,EQLBPW,0,450,0.6652026176452637,0.6652026176452637,0.6652026176452637,0.4596997946500778,,,
diagnostic,EQLBPW,0,460,0.680626392364502,0.680626392364502,0.680626392364502,0.46820225566625595,,,
diagnostic,EQLBPW,0,470,0.6938105225563049,0.6938105225563049,0.6938105225563049,0.48485445231199265,,,
diagnostic,EQLBPW,0,480,0.6532436013221741,0.6532436013221741,0.6532436013221741,0.46262723207473755,,,
diagnostic,EQLBPW,0,490,0.5969973206520081,0.5969973206520081,0.5969973206520081,0.42616650462150574,,,
diagnostic,EQLBPW,0,500,0.5756947994232178,0.5756947994232178,0.5756947994232178,0.42408959567546844,,,
diagnostic,EQLBPW,0,510,0.5353816151618958,0.5353816151618958,0.5353816151618958,0.4190073311328888,,,
diagnostic,EQLBPW,0,520,0.5047195553779602,0.5047195553779602,0.5047195553779602,0.4152242839336395,,,
diagnostic,EQLBPW,0,530,0.5124679803848267,0.5124679803848267,0.5124679803848267,0.4272264167666435,,,
diagnostic,EQLBPW,0,540,0.5016315579414368,0.5016315579414368,0.5016315579414368,0.43195968866348267,,,
diagnostic,EQLBPW,0,550,0.500267744064331,0.500267744064331,0.500267744064331,0.4411734864115715,,,
diagnostic,EQLBPW,0,560,0.491182804107666,0.491182804107666,0.491182804107666,0.4271703213453293,,,
diagnostic,EQLBPW,0,570,0.5056950449943542,0.5056950449943542,0.5056950449943542,0.4295996278524399,,,
diagnostic,EQLBPW,0,580,0.4987949728965759,0.4987949728965759,0.4987949728965759,0.41086195409297943,,,
diagnostic,EQLBPW,0,590,0.5099043846130371,0.5099043846130371,0.5099043846130371,0.4148075506091118,,,
diagnostic,EQLBPW,0,600,0.5204717516899109,0.5204717516899109,0.5204717516899109,0.4350045248866081,,,
diagnostic,EQLBPW,0,610,0.5005210041999817,0.5005210041999817,0.5005210041999817,0.4393197223544121,,,
diagnostic,EQLBPW,0,620,0.5072283744812012,0.5072283744812012,0.5072283744812012,0.4469066560268402,,,
diagnostic,EQLBPW,0,630,0.5171898007392883,0.5171898007392883,0.5171898007392883,0.44584424793720245,,,
diagnostic,EQLBPW,0,640,0.4923044741153717,0.4923044741153717,0.4923044741153717,0.431537002325058,,,
diagnostic,EQLBPW,0,650,0.4590986967086792,0.4590986967086792,0.4590986967086792,0.41404999792575836,,,
diagnostic,EQLBPW,0,660,0.4656142294406891,0.4656142294406891,0.4656142294406891,0.41504688560962677,,,
diagnostic,EQLBPW,0,670,0.48884326219558716,0.48884326219558716,0.48884326219558716,0.42521894723176956,,,
diagnostic,EQLBPW,0,680,0.52411949634552,0.52411949634552,0.52411949634552,0.44370682537555695,,,
diagnostic,EQLBPW,0,690,0.5324567556381226,0.5324567556381226,0.5324567556381226,0.4593144953250885,,,
diagnostic,EQLBPW,0,700,0.5154696702957153,0.5154696702957153,0.5154696702957153,0.45399128645658493,,,
diagnostic,EQLBPW,0,710,0.5056021809577942,0.5056021809577942,0.5056021809577942,0.4481923133134842,,,
diagnostic,EQLBPW,0,720,0.49575626850128174,0.49575626850128174,0.49575626850128174,0.4415535032749176,,,
diagnostic,EQLBPW,0,730,0.4962002635002136,0.4962002635002136,0.4962002635002136,0.44098707288503647,,,
diagnostic,EQLBPW,0,740,0.4845011234283447,0.4845011234283447,0.4845011234283447,0.4389132037758827,,,
diagnostic,EQLBPW,0,750,0.47725769877433777,0.47725769877433777,0.47725769877433777,0.4464942216873169,,,
diagnostic,EQLBPW,0,760,0.4784240126609802,0.4784240126609802,0.4784240126609802,0.44461245089769363,,,
diagnostic,EQLBPW,0,770,0.4960700273513794,0.4960700273513794,0.4960700273513794,0.44686542451381683,,,
diagnostic,EQLBPW,0,780,0.5403663516044617,0.5403663516044617,0.5403663516044617,0.46366704255342484,,,
diagnostic,EQLBPW,0,790,0.5686424970626831,0.5686424970626831,0.5686424970626831,0.47540561854839325,,,
diagnostic,EQLBPW,0,800,0.5747628808021545,0.5747628808021545,0.5747628808021545,0.47952553629875183,,,
diagnostic,EQLBPW,0,810,0.5815848112106323,0.5815848112106323,0.5815848112106323,0.4917299374938011,,,
diagnostic,EQLBPW,0,820,0.5969372987747192,0.5969372987747192,0.5969372987747192,0.5114571154117584,,,
diagnostic,EQLBPW,0,830,0.5812545418739319,0.5812545418739319,0.5812545418739319,0.5048021674156189,,,
