task,algorithm,seed,interactions,mean_max_q,signed_bias,positive_bias,mean_absolute_q_error,goal_success,path_steps,collisions
diagnostic,EQLBPW,0,0,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,10,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,20,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,30,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,40,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,50,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,60,0.10434933006763458,0.10434933006763458,0.10434933006763458,0.09577925689518452,,,
diagnostic,EQLBPW,0,70,0.13994908332824707,0.13994908332824707,0.13994908332824707,0.10050127189606428,,,
diagnostic,EQLBPW,0,80,0.1844242811203003,0.1844242811203003,0.1844242811203003,0.10707344301044941,,,
diagnostic,EQLBPW,0,90,0.22282546758651733,0.22282546758651733,0.22282546758651733,0.10729467310011387,,,
diagnostic,EQLBPW,0,100,0.25753146409988403,0.25753146409988403,0.25753146409988403,0.11144090630114079,,,
diagnostic,QLBPW,0,0,0.0,0.0,0.0,0.0,,,
diagnostic,QLBPW,0,10,0.518375890174273,0.518375890174273,0.518375890174273,0.2990397010312611,,,
diagnostic,QLBPW,0,20,0.6724897627972148,0.6724897627972148,0.6724897627972148,0.5841948704691191,,,
diagnostic,QLBPW,0,30,1.0309118636263435,1.0309118636263435,1.0309118636263435,0.6120142877182267,,,
diagnostic,QLBPW,0,40,1.5977462923448857,1.5977462923448857,1.5977462923448857,0.808059535610804,,,
diagnostic,QLBPW,0,50,2.117877535250413,2.117877535250413,2.117877535250413,1.2125909256721712,,,
diagnostic,QLBPW,0,60,2.053462780313078,2.053462780313078,2.053462780313078,1.4794709927783882,,,
diagnostic,QLBPW,0,70,2.0120573856567066,2.0120573856567066,2.0120573856567066,1.5354929019534227,,,
diagnostic,QLBPW,0,80,2.0609551192735434,2.0609551192735434,2.0609551192735434,1.3928089032575324,,,
diagnostic,QLBPW,0,90,2.0811062046945814,2.0811062046945814,2.0811062046945814,1.580928619532004,,,
diagnostic,QLBPW,0,100,2.3214761139147315,2.3214761139147315,2.3214761139147315,1.7857462079915774,,,
diagnostic,EQLBPW,1,0,0.035062193870544434,0.035062193870544434,0.035062193870544434,0.03010760573670268,,,
diagnostic,EQLBPW,1,10,0.035062193870544434,0.035062193870544434,0.035062193870544434,0.03010760573670268,,,
diagnostic,EQLBPW,1,20,0.035062193870544434,0.035062193870544434,0.035062193870544434,0.03010760573670268,,,
diagnostic,EQLBPW,1,30,0.035062193870544434,0.035062193870544434,0.035062193870544434,0.03010760573670268,,,
diagnostic,EQLBPW,1,40,0.035062193870544434,0.035062193870544434,0.035062193870544434,0.03010760573670268,,,
diagnostic,EQLBPW,1,50,0.035062193870544434,0.035062193870544434,0.035062193870544434,0.03010760573670268,,,
diagnostic,EQLBPW,1,60,0.035062193870544434,0.035062193870544434,0.035062193870544434,0.03010760573670268,,,
diagnostic,EQLBPW,1,70,0.04902878776192665,0.04902878776192665,0.04902878776192665,0.030338119948282838,,,
diagnostic,EQLBPW,1,80,0.07913186401128769,0.07913186401128769,0.07913186401128769,0.03796626813709736,,,
diagnostic,EQLBPW,1,90,0.09609557688236237,0.09609557688236237,0.09609557688236237,0.04663151956629008,,,
diagnostic,EQLBPW,1,100,0.10129812359809875,0.10129812359809875,0.10129812359809875,0.06335889943875372,,,
diagnostic,QLBPW,1,0,0.0,0.0,0.0,0.0,,,
diagnostic,QLBPW,1,10,0.012737940642493263,0.012737940642493263,0.012737940642493263,0.17996829953516807,,,
diagnostic,QLBPW,1,20,0.330841349696626,0.330841349696626,0.330841349696626,0.23163769410666868,,,
diagnostic,QLBPW,1,30,0.6538147998454507,0.6538147998454507,0.6538147998454507,0.34747642495287484,,,
diagnostic,QLBPW,1,40,0.5290341961151974,0.5290341961151974,0.5290341961151974,0.3269266690248477,,,
diagnostic,QLBPW,1,50,0.44475657869649887,0.44475657869649887,0.44475657869649887,0.29680991407045965,,,
diagnostic,QLBPW,1,60,0.6099257265462282,0.6099257265462282,0.6099257265462282,0.3843628308481503,,,
diagnostic,QLBPW,1,70,0.5597847999441269,0.5597847999441269,0.5597847999441269,0.3468399982734716,,,
diagnostic,QLBPW,1,80,0.7276928009492619,0.7276928009492619,0.7276928009492619,0.5135451906327767,,,
diagnostic,QLBPW,1,90,0.9392750928730189,0.9392750928730189,0.9392750928730189,0.6744565017164492,,,
diagnostic,QLBPW,1,100,1.3140513580514317,1.3140513580514317,1.3140513580514317,0.9039720952377576,,,
grid,EQLBPW,0,0,0.07694606983969951,-0.3423954101467053,0.11895879248770283,0.5843770691526803,0,162,161
grid,EQLBPW,0,200,0.02025329976760108,-0.5578554378579041,0.012742958828207866,0.7192103040481027,0,162,0
grid,QLBPW,0,0,0.0,-0.3452868895251701,0.0934924278851361,0.569543625018682,0,162,0
grid,QLBPW,0,200,0.03514748011609751,-0.3874820137068575,0.062111427481891406,0.5455377491557879,0,162,0
grid,EQLBPW,1,0,0.06296110492006972,-0.2757111794957337,0.12632770805313395,0.5663645714916039,0,162,162
grid,EQLBPW,1,200,-0.0077086790978651626,-0.5872164269530982,0.012114549020444582,0.6564059987862724,0,162,0
grid,QLBPW,1,0,0.0,-0.3452868895251701,0.0934924278851361,0.569543625018682,0,162,0
grid,QLBPW,1,200,0.03770185800293277,-0.3652834549597969,0.06918826062416646,0.5471824585484435,0,162,0
